brand,model,modification,cylinders,powerHp,engineVolume,transmissionType,transmissionSpeeds,baseCityNorm,baseHighwayNorm,fuelType,vehicleType,baseCombinedNorm,testCycle,normSource,sourceRef,publicTime,energyType,driveType,aliasCn,brandCn,region,phaseLow,phaseMid,phaseHigh,phaseExtra,electricKwh,co2,drivingRange,mass
Volkswagen,Caravelle 3.2,10 мест,6VR,235.0,3.189,AT,6,14.1,12.7,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Caravelle 3.2 4Motion,10 мест,6VR,235.0,3.189,MT,6,13.3,12.0,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Caravelle 7HC 2.0,7 мест,4L,116.0,1.984,MT,5,12.1,10.9,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Caravelle 7HC 2.0BiTDI,10 мест,4L,180.0,1.968,MT,6,9.2,7.8,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Caravelle 7HC 2.0TDI,9 мест,4L,140.0,1.968,MT,6,8.8,7.5,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Caravelle 7HC 2.0TDI,8 мест,4L,102.0,1.968,MT,5,9.2,7.8,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Caravelle 7HC 2.0TDI 4Motion,7 мест,4L,102.0,1.968,MT,5,9.9,8.4,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Caravelle 7HC 2.5TDI,10 мест,5L,174.0,2.461,AT,6,11.9,10.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Caravelle 7HC 2.5TDI,11 мест,5L,131.0,2.461,MT,6,10.5,8.9,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Caravelle 7HC Trend Line 3.2,8 мест,6VR,235.0,3.189,AT,6,15.1,13.6,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Crafter 35 2.5D,20 мест,5L,109.0,2.461,MT,6,13.0,11.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Crafter 50 2.5 TDI,12 мест,5L,163.0,2.461,MT,6,14.1,12.0,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Crafter 50 2EKZ 2.5D,15 мест,5L,109.0,2.461,MT,6,13.7,11.6,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Multivan 2.0BiTDI,7 мест,4L,180.0,1.968,DSG,7,8.4,7.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Multivan 2.0BiTDI,7 мест,4L,180.0,1.968,AT,6,10.1,8.6,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Multivan 2.0TDI 4Motion,7 мест,4L,140.0,1.968,MT,6,10.5,8.9,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Multivan 2.5TD 4Motion,7 мест,5L,131.0,2.461,MT,6,10.3,8.8,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Multivan 2.5TDI,9 мест,5L,174.0,2.461,MT,6,9.9,8.4,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Multivan 2.5TDI,6 мест,5L,131.0,2.461,AT,6,11.3,9.6,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Multivan 2.5TDI,7 мест,5L,147.0,2.461,AT,6,11.9,10.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Multivan 7HC 2.0 BiTDI4Motion,7 мест,4L,180.0,1.968,DSG,7,9.3,7.9,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Multivan 7HC 2.0TDI,7 мест,4L,140.0,1.968,MT,6,8.5,7.2,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Multivan 7HC 2.0TSI 4Motion,7 мест,4L,204.0,1.984,DSG,7,11.2,10.1,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Multivan 7HM 3.2 4Motion,7 мест,6VR,235.0,3.189,MT,6,13.6,12.2,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Multivan T5 2.5TDI,7 мест,5L,131.0,2.461,MT,6,10.3,8.8,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Transporter 1.9 TDI,6 мест,4L,105.0,1.896,MT,5,10.0,8.5,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Transporter 1.9TDI,12 мест,4L,86.0,1.896,MT,5,10.6,9.0,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Transporter 2.0BiTDI 4Motion,8 мест,4L,180.0,1.968,MT,6,9.4,8.0,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Transporter 3.2,9 мест,6V,231.0,3.189,AT,6,14.4,12.9,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Transporter 7HC 2.5TDI,10 мест,5L,131.0,2.461,MT,6,10.5,8.9,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Transporter 7HC Kombi 3.2,8 мест,6VR,235.0,3.189,AT,6,13.9,12.5,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Transporter 7HCA 2.5TDI 4Motion,6 мест,5L,174.0,2.461,MT,6,11.8,10.0,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Transporter Kombi 2.0,9 мест,4L,116.0,1.984,MT,5,12.2,11.0,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Transporter T5 1.9TDI,8 мест,4L,86.0,1.896,MT,5,10.2,8.7,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
